epoch,train time(s),loss,valid time(s),accu
1,11.753214836120605,56.45901018381119,1.5449440479278564,0.8384
2,11.84277606010437,22.447738587856293,1.5601389408111572,0.8756
3,11.445068120956421,18.50590541958809,1.5563268661499023,0.8847
4,11.175308465957642,16.091334253549576,1.5104849338531494,0.8945
5,11.048349380493164,14.435398519039154,1.547361135482788,0.8956
6,11.101079940795898,13.290952384471893,1.5408353805541992,0.9079
7,11.240468740463257,11.928915619850159,1.5470404624938965,0.9079
8,11.398115873336792,10.678333297371864,1.5620253086090088,0.9083
9,11.44466519355774,9.969017580151558,1.5693202018737793,0.9095
10,11.447033643722534,8.924685172736645,1.529601812362671,0.9137
11,11.36586046218872,8.894947774708271,1.5756924152374268,0.9119
12,11.252899646759033,7.478027239441872,1.5993762016296387,0.9149
13,11.257199764251709,6.919867932796478,1.5403797626495361,0.9047
14,11.316206455230713,6.490200333297253,1.5451922416687012,0.9127
15,11.322000741958618,6.13059101998806,1.5907857418060303,0.9164
16,11.350137710571289,5.04250580444932,1.5566327571868896,0.9153
17,11.371827363967896,5.073221009224653,1.5535709857940674,0.9124
18,11.393742084503174,4.839501332491636,1.5894582271575928,0.9119
19,11.379805326461792,4.231172390282154,1.5448966026306152,0.9194
20,11.344950914382935,3.94579191878438,1.5799095630645752,0.9153
21,11.323169469833374,3.5068411119282246,1.5357167720794678,0.9147
22,11.296508312225342,3.479797676205635,1.5682320594787598,0.916
23,11.30970549583435,2.9230817891657352,1.5994179248809814,0.9156
24,11.333166122436523,3.0494586061686277,1.5520753860473633,0.9154
25,11.329252481460571,2.9659276735037565,1.5507721900939941,0.9103
26,11.333816289901733,2.642256285995245,1.5599126815795898,0.9135
27,11.35491156578064,2.218094628304243,1.5390591621398926,0.915
28,11.340514421463013,2.3459778260439634,1.5785694122314453,0.9127
29,11.385103225708008,2.4981039222329855,1.5692400932312012,0.91
30,11.352606773376465,2.0796986781060696,1.557192087173462,0.9134
