epoch,train time(s),loss,valid time(s),accu
1,11.642151355743408,43.1619391515851,1.5768592357635498,0.9764
2,11.726319074630737,4.650638809427619,1.6082515716552734,0.9869
3,11.41432809829712,2.9450721330940723,1.5511994361877441,0.989
4,11.2846097946167,2.0708387549966574,1.6522982120513916,0.9898
5,11.049628973007202,1.486284771002829,1.567366361618042,0.9911
6,11.009973526000977,1.3265679255127907,1.5356111526489258,0.9903
7,11.209205627441406,1.087933009956032,1.548802375793457,0.9917
8,11.328460693359375,0.8930541616864502,1.569701910018921,0.9911
9,11.363811254501343,0.894620074890554,1.5549066066741943,0.9915
10,11.370224475860596,0.6797991509083658,1.5614376068115234,0.9898
11,11.29999828338623,0.6138058259384707,1.549558401107788,0.9907
12,11.203400135040283,0.49235296074766666,1.6073741912841797,0.9911
13,11.179094552993774,0.6535866738995537,1.547393798828125,0.9923
14,11.287180662155151,0.5125853957142681,1.554858922958374,0.9914
15,11.314882278442383,0.3329955102526583,1.605290174484253,0.9925
16,11.309285163879395,0.3504747413098812,1.5543959140777588,0.9925
17,11.33736801147461,0.4777155691990629,1.5713109970092773,0.9913
18,11.314388036727905,0.27447209070669487,1.5456068515777588,0.9923
19,11.316480159759521,0.5341653177747503,1.5670409202575684,0.991
20,11.311751365661621,0.4568338404642418,1.551295280456543,0.9911
21,11.339389562606812,0.33355974254664034,1.5575001239776611,0.9912
22,11.313571453094482,0.3745074048056267,1.5550200939178467,0.9922
23,11.296475648880005,0.328297404863406,1.55501389503479,0.9925
24,11.285214185714722,0.3043690492922906,1.5378777980804443,0.9924
25,11.276857376098633,0.189061512472108,1.5739412307739258,0.9921
26,11.25347638130188,0.3595737144933082,1.5385360717773438,0.9902
27,11.272555589675903,0.3770293696434237,1.5607414245605469,0.9915
28,11.251667976379395,0.1726499233627692,1.5339114665985107,0.994
29,11.297111988067627,0.334707572372281,1.5388875007629395,0.9932
30,11.277374267578125,0.33505556359887123,1.5411317348480225,0.991
