epoch,train time(s),loss,valid time(s),accu
1,11.572998285293579,74.69365561008453,1.5569982528686523,0.7432
2,11.804440975189209,32.824906408786774,1.5788495540618896,0.8272
3,11.620007276535034,24.611595004796982,1.6275765895843506,0.8595
4,11.336222648620605,20.970680445432663,1.531550645828247,0.8795
5,11.149004697799683,18.614697128534317,1.5370144844055176,0.8742
6,11.114251613616943,17.23152782022953,1.583920955657959,0.8879
7,11.191808223724365,15.4869574457407,1.554090976715088,0.8916
8,11.367710828781128,14.62871715426445,1.56197190284729,0.8991
9,11.466711282730103,13.484756007790565,1.5505475997924805,0.8995
10,11.471964120864868,12.603183791041374,1.5830326080322266,0.9054
11,11.427786350250244,11.84385959804058,1.6045336723327637,0.9064
12,11.359125137329102,11.010120868682861,1.571885347366333,0.9099
13,11.303508758544922,10.793100729584694,1.552093267440796,0.9098
14,11.32468056678772,9.904884159564972,1.5391860008239746,0.9072
15,11.384690284729004,9.570543110370636,1.5785436630249023,0.9131
16,11.374961614608765,8.601816400885582,1.543874979019165,0.9153
17,11.424024105072021,8.354386046528816,1.5494465827941895,0.9126
18,11.379528760910034,7.744522079825401,1.542679786682129,0.9136
19,11.340699195861816,7.07861752808094,1.6078636646270752,0.9084
20,11.329582452774048,6.990932315587997,1.5436007976531982,0.9099
21,11.305986642837524,6.052490338683128,1.5564379692077637,0.914
22,11.308031797409058,5.807221435010433,1.6059346199035645,0.9115
23,11.298972845077515,5.659553274512291,1.580826997756958,0.907
24,11.315149545669556,5.906472589820623,1.5482203960418701,0.912
25,11.361645221710205,4.814069751650095,1.5684924125671387,0.9106
26,11.364633321762085,4.224984023720026,1.569383144378662,0.9119
27,11.365109205245972,3.985478885471821,1.5632891654968262,0.9135
28,11.360116958618164,3.5880692787468433,1.5476269721984863,0.9091
29,11.361619710922241,3.3625192418694496,1.5576035976409912,0.9151
30,11.357985734939575,3.343431107699871,1.5662155151367188,0.9148
