epoch,train time(s),loss,valid time(s),accu
1,11.295408487319946,71.31356051564217,1.5076632499694824,0.9435
2,11.582595109939575,7.1397778913378716,1.6228406429290771,0.9794
3,11.741232633590698,3.6975809782743454,1.5277142524719238,0.9881
4,11.610053300857544,2.6123238559812307,1.5464096069335938,0.9887
5,11.448064088821411,1.9649964552372694,1.5117945671081543,0.9855
6,11.356412887573242,1.750121183693409,1.5182175636291504,0.9919
7,11.344428777694702,1.3047620113939047,1.515493631362915,0.992
8,11.406509160995483,1.1131374859251082,1.5145118236541748,0.9928
9,11.474569082260132,1.0980624756775796,1.523683786392212,0.9899
10,11.536978244781494,1.1357784061692655,1.5152945518493652,0.9926
11,11.531640529632568,0.7869914695620537,1.5295298099517822,0.9924
12,11.473024368286133,0.5753414931241423,1.526031255722046,0.9933
13,11.462809085845947,0.4716181242838502,1.516995906829834,0.9909
14,11.436551570892334,0.5387770731467754,1.4958021640777588,0.9919
15,11.4482102394104,0.5851419772952795,1.5319929122924805,0.9927
16,11.449610471725464,0.5197883972432464,1.5188179016113281,0.9936
17,11.44098448753357,0.564940067823045,1.5497336387634277,0.9941
18,11.41470217704773,0.3377666127635166,1.575084924697876,0.9947
19,11.423166036605835,0.3287157849263167,1.5260934829711914,0.9932
20,11.443568229675293,0.5198342634539586,1.5143940448760986,0.9926
21,11.43183708190918,0.4189046589890495,1.576185703277588,0.9933
22,11.441402196884155,0.31514124214299954,1.5316259860992432,0.993
23,11.457075595855713,0.41975289350375533,1.5335814952850342,0.9926
24,11.443169593811035,0.4007252045266796,1.5156316757202148,0.9934
25,11.437721252441406,0.27884850844566245,1.5194642543792725,0.9924
26,11.442620038986206,0.43627976335119456,1.5163257122039795,0.9938
27,11.43518352508545,0.371060304925777,1.5294692516326904,0.9926
28,11.413957357406616,0.3171507657098118,1.5086290836334229,0.9916
29,11.433040857315063,0.18687631751527078,1.5663092136383057,0.9929
30,11.438621997833252,0.412321967916796,1.512749433517456,0.9932
